hours_studied,sleep_hours,distractions,attendance,grade
7,5,1,70,83.97402457580317
1,6,5,88,63.2967356403722
1,5,5,79,52.93123986665971
9,9,1,57,90.64593983430422
9,7,6,100,100.0
4,5,1,69,70.58112889396776
9,5,5,97,99.36743486613544
3,4,9,81,52.8376105635117
7,5,5,71,71.33248980141231
6,4,6,56,58.31631577402043
8,8,8,58,82.55086970469051
9,9,1,94,100.0
5,4,2,50,60.740224870029856
1,7,9,78,42.585023882495584
3,9,3,57,59.29768114690361
10,4,6,53,77.07271837221677
8,9,5,84,99.9038711936292
6,9,2,52,78.49814113861372
8,9,7,94,95.97607510901673
9,8,4,89,100.0
4,7,1,56,67.55082674347271
1,6,4,76,54.44912158275237
1,6,6,50,38.967168798120554
10,4,7,76,84.63175106160993
4,9,7,65,63.05620811310282
7,4,7,87,82.03782661654311
2,8,3,56,52.21320756734916
3,8,6,93,71.15412900268996
1,5,8,72,46.171239077137365
5,8,4,90,83.2648787449517
1,5,8,60,33.5069117817972
8,7,2,91,100.0
1,4,10,82,29.083892593581012
1,7,9,99,56.88346173997601
2,8,9,85,53.44689118210726
2,7,8,86,59.27290216321781
6,7,10,90,81.52819255020556
7,7,10,66,57.929131334131725
5,8,1,84,86.96541507999859
1,9,2,97,78.7616161648249
1,7,6,54,30.083255407851112
3,5,10,97,65.18132680211116
2,8,5,81,66.39946018401741
5,7,9,52,59.41606410965951
10,9,5,96,100.0
6,8,2,84,89.78339614861905
7,6,10,63,63.69531822600465
4,9,4,97,98.19104523775769
7,5,9,80,78.59052680248533
8,7,1,80,99.66173849754374
1,6,1,66,55.27200885825392
6,6,7,73,73.67451905792467
8,8,3,72,100.0
5,6,10,67,58.41359896528525
4,5,2,99,80.72979698059385
2,5,9,63,36.80700801692506
6,4,3,99,86.67457623759721
6,5,2,64,70.06489090824395
1,9,8,64,50.48046169038437
9,6,10,55,63.33701685104229
6,5,6,76,69.69749705296833
3,8,6,64,62.67316427363668
4,4,10,99,63.34561827168677
4,6,7,85,64.18687689974175
3,4,7,57,40.339877447916805
10,6,6,64,93.17667343346106
3,8,4,52,50.94799151988289
3,4,9,96,50.97703176044335
4,7,6,62,55.351830239112516
7,9,4,90,98.94661067866679
4,9,3,83,75.71630966371904
9,6,4,73,96.2650079638299
1,7,3,89,59.878537705720674
8,4,2,81,89.62177778871565
7,7,5,81,83.60463449540299
2,7,2,79,66.17251459580137
8,4,6,98,80.98327045170629
1,8,3,62,59.00658122604978
9,7,6,50,74.19251000814299
9,7,10,83,82.16891639478149
2,8,9,64,59.895045067010464
7,7,1,93,100.0
10,7,6,63,95.31208204141538
3,7,9,78,59.294456981809496
7,9,4,83,93.237597200068
10,5,2,67,87.96575071272494
9,8,4,56,87.50589806287171
4,7,1,78,73.10920327737219
1,9,3,80,61.40942413782741
2,8,10,74,43.084063355151514
1,6,9,87,49.07237979897748
5,6,10,63,62.36706073762923
5,7,5,57,67.29068361513224
7,9,6,76,87.47104806074144
9,9,3,51,91.29714063594925
9,8,5,66,76.76111343803201
3,8,8,86,63.88082289050312
3,9,6,63,54.366620523898305
3,8,4,74,68.67206263951138
4,9,2,79,81.20012005665883
8,5,9,78,71.6534772939623
6,9,1,69,90.05948352244299
8,6,1,70,91.51639576503472
1,8,4,71,64.09312019728213
8,9,7,84,98.43208750223364
4,9,1,86,89.08486395018437
1,8,9,65,38.76242763174304
8,5,4,99,91.13280440446256
4,5,3,98,80.99424003718303
6,8,1,92,96.99965313779785
8,4,10,66,66.24682795563304
4,8,4,65,73.3900026208578
3,8,9,51,38.93430612429095
9,5,10,53,73.48517692514497
3,5,6,70,57.84690893474498
9,8,6,88,90.72779889006178
2,8,1,83,85.26546224455488
2,8,10,79,55.10688159540728
2,5,2,55,46.10730849788523
6,8,6,66,77.59531111802463
3,8,2,88,74.11262681530633
9,7,3,74,99.73064176596776
4,4,4,54,47.03251770832345
1,6,5,54,50.101797677353005
4,4,9,69,48.800500969532
1,7,4,65,53.74911526036412
5,6,9,100,71.0696745017393
4,8,10,90,73.0824801194668
8,7,3,86,97.93709968248945
8,8,8,89,85.44074145839028
7,5,1,58,75.80618640055876
3,9,9,54,60.65555534431269
1,7,9,91,57.79488513021654
1,5,10,51,23.60512465546753
3,7,2,58,51.65417119499533
6,7,4,92,84.83754410884684
7,5,8,85,69.46762997982769
6,6,7,71,60.27495996783251
6,4,1,71,79.42795565082652
6,8,5,71,79.81193698190083
3,7,7,83,72.47554224171971
6,8,4,78,80.01179050601185
8,9,1,87,100.0
2,5,9,95,47.529128241265425
5,8,5,82,77.02563319416879
1,5,2,67,48.38945019033707
1,8,8,56,39.12673016094176
5,4,2,50,58.267703153077505
3,4,3,82,66.85804781625694
4,4,10,50,41.332087927272774
3,4,1,73,57.6533270795435
1,4,2,53,39.34822939068175
1,4,7,53,33.470481874797215
5,5,10,67,58.67868253714753
6,7,2,76,81.69421657672923
3,8,6,92,76.5408222740012
9,4,3,81,93.1557325459385
5,5,4,82,67.67005443230535
8,5,8,77,81.50078981292867
1,5,3,91,60.25771604216234
5,7,10,90,62.29304696836737
3,8,6,85,68.03073219644315
1,7,1,55,51.69928770792486
4,6,7,65,53.47087760591203
5,5,8,83,71.64114212749263
7,6,8,72,79.32234245339053
1,9,3,99,73.58754920543578
3,4,10,91,50.03887239323129
2,4,1,73,55.8438266331534
9,7,9,98,95.9995971709666
10,8,6,62,90.03749053099038
6,6,9,67,44.95601695338354
10,8,7,62,99.77405937799807
3,7,1,98,83.00208981889071
8,4,1,86,92.10844944035462
8,8,6,92,99.62584565025975
2,8,5,88,67.59971125732955
6,4,9,91,67.34842077677276
7,6,2,66,76.97177006804026
2,4,8,64,28.80693611752152
10,8,5,67,90.72810535022803
2,6,2,72,54.41662966644927
10,6,10,100,100.0
1,4,6,79,48.123115733821976
8,8,10,83,81.09100447766615
1,7,8,53,23.18172929781303
9,8,4,52,87.04560359750938
6,5,2,56,66.89228892170341
7,9,5,67,83.26868756649934
10,7,2,91,100.0
7,6,2,56,77.69326312736426
10,7,6,89,98.6181017573996
3,6,10,55,34.467934830204754
2,6,9,71,44.18694321507522
9,7,4,50,78.46793618905178
8,6,6,53,72.1380118798619
10,6,7,95,100.0
7,5,6,98,80.10108794200275
9,8,8,99,100.0
4,8,4,92,86.57524991334695
4,9,1,78,83.56906332090945
1,9,7,70,56.60790447558826
8,5,3,75,85.06363753942269
3,9,6,63,62.35414039711819
7,7,2,58,83.20392466171089
2,4,9,96,49.139987808684324
2,4,1,61,60.453380085949995
7,4,6,91,83.3879009016596
6,5,6,100,89.51492749358461
3,5,5,100,75.35511973180384
9,6,5,55,82.13644634641706
10,4,1,69,100.0
6,7,10,73,68.43957355595958
10,9,5,76,100.0
10,7,2,87,100.0
6,9,7,57,66.46916543792435
1,4,3,50,25.491478359450987
4,4,4,98,68.73728878470487
10,4,3,98,100.0
6,5,3,73,80.80962392744041
6,9,4,96,92.72240397711823
5,5,5,56,63.05081226763578
1,5,1,68,45.94658507096561
8,8,4,71,86.90238766930275
5,7,8,84,79.24578301698226
5,7,10,79,65.73810509981247
7,6,7,78,77.13189027357679
4,5,9,71,53.67639994953913
6,9,5,60,70.96798374640977
4,8,10,69,56.84575935713089
3,8,4,78,70.01330579063276
7,7,8,100,96.15690468089716
8,5,9,90,73.647914303493
4,6,7,91,78.31495157687885
2,5,7,83,51.87676130837478
10,4,5,50,71.44721875516495
3,5,4,80,55.541826419328046
1,4,10,79,37.86574658502103
8,4,1,97,91.76395259965737
3,6,10,67,43.69938227453451
10,9,10,66,88.75048469561101
7,7,7,87,91.21837869702412
10,5,1,63,99.59226729631987
5,4,1,72,67.7850380494052
10,5,5,74,90.93658414889539
5,9,9,64,58.02307549912127
7,7,6,95,81.3045224337814
9,9,3,71,95.3547377620369
5,7,3,52,71.61548680662905
1,8,7,68,52.9004036111073
10,7,6,93,100.0
10,6,9,83,84.21187756689712
1,9,6,84,58.44170211304427
2,4,5,99,57.210894859106894
6,8,10,50,58.17000814689719
9,6,7,70,82.85473221683942
8,5,1,78,86.99021571652085
5,9,7,55,67.24608403949271
1,4,3,86,55.144731901021196
7,7,9,50,59.35588450453527
5,4,6,100,76.52139195816265
6,5,9,50,57.62142684165261
7,8,5,76,94.14030388561623
3,8,7,70,62.4533107830493
10,9,4,65,100.0
3,8,7,93,70.29930542987844
5,9,1,89,99.64856447767579
6,9,7,75,75.14824274330107
9,9,8,65,93.06925071704083
5,7,5,77,73.06197632909598
1,6,2,50,51.45468413600865
4,9,5,85,82.44103203520038
5,9,6,59,69.1606688446345
10,6,2,92,100.0
10,4,6,66,85.62806427224218
5,9,6,72,78.38562173843027
7,7,1,56,80.00828497749737
4,8,1,93,88.95917879134173
1,8,10,56,41.481950436743006
5,5,3,93,73.68321871059875
7,5,10,64,65.62939110276857
10,8,10,83,98.10607289179677
10,8,3,95,100.0
6,7,4,94,86.4217314934838
5,6,2,53,65.52858043046446
4,5,9,63,49.52534188002448
2,6,10,63,43.19398258600118
4,7,7,65,61.645584645805
10,8,7,56,81.80222450593863
10,9,6,81,100.0
3,6,3,68,71.02114387135204
10,8,6,51,90.55878787980657
1,8,8,59,50.690234722683
8,4,8,99,90.71530688647407
5,6,9,66,64.81200967719205
4,9,1,86,89.54984330492353
8,6,1,61,89.10922554806058
7,8,3,55,81.77758878320688
2,9,3,71,66.52170432524761
1,7,10,81,50.21097490034552
4,4,8,90,58.394990304964
8,8,10,69,87.92691158007317
2,5,1,50,43.35993516155863
3,5,2,96,78.0569405995858
1,4,2,55,47.393357086517945
1,7,3,68,53.116891230197986
3,8,6,67,54.93511344430918
5,6,1,55,74.27764794641178
3,4,2,94,71.01697655025127
1,7,1,82,69.06658036300871
1,6,5,72,48.452727005813415
8,5,7,72,85.65962341161199
10,5,8,75,75.91495973896826
2,6,10,62,40.88088775641867
3,4,1,56,59.70874741875799
2,5,7,64,43.526695224146984
3,8,5,93,77.01179346508455
7,9,10,76,77.82994093716496
1,6,1,75,58.60344253933309
10,6,3,82,94.64071693431848
8,5,7,64,69.40784333690154
10,4,10,85,80.56622436448886
10,8,1,94,100.0
10,4,7,76,83.14315120356133
2,7,5,54,45.2876222503009
3,7,1,51,57.610383198574304
9,9,1,82,100.0
7,5,1,65,81.84511134630849
4,5,9,72,54.888157347164544
10,5,3,87,100.0
5,9,5,65,77.76375041143972
2,7,10,63,45.2637887249235
8,4,9,78,71.35515833001278
4,9,6,75,70.53448124831061
9,9,9,84,91.64394498825772
5,4,8,64,48.5537815555295
9,5,8,52,70.9713070483963
4,8,1,72,74.4029197960996
10,4,9,78,90.34162066677979
5,7,6,83,75.31249588462754
9,6,9,82,93.5069505357977
8,6,3,90,99.85883527285584
3,9,3,90,77.11381782764144
1,6,6,72,46.68976905709091
3,8,9,56,40.63273829441142
4,5,7,52,47.95212677532643
2,7,3,81,62.07115796077341
1,8,3,80,57.432709958923695
7,7,2,67,93.11073379274023
8,7,9,92,94.15293870492144
7,5,3,56,77.0151948938123
5,9,5,90,90.91055638325471
1,6,9,50,23.825554779371085
7,5,8,63,63.49760253596581
7,8,2,81,93.80248179265057
9,9,3,55,84.95131462950535
3,8,2,88,76.21499452578006
9,9,8,59,82.76951012191478
1,8,6,56,45.62999473747481
1,5,6,75,58.161938001191714
4,9,9,83,70.3955186169763
9,9,8,79,96.13257227284834
6,7,4,85,84.24894863617929
3,7,4,70,66.68856440026872
1,4,9,66,26.630413956771115
4,8,1,82,92.4801874757697
9,7,2,59,90.8792039626659
3,4,2,100,71.02405083484467
9,7,6,96,100.0
7,8,4,91,92.04538703977573
4,9,10,100,80.59625491527666
3,6,3,61,64.5258502779768
10,8,3,65,99.29328613798495
5,5,3,90,89.26420806539936
5,7,6,81,77.72145763130627
3,7,8,64,55.28347129832215
9,9,7,76,100.0
4,5,4,77,73.65367477318186
5,9,4,66,78.3091949320319
4,5,10,95,66.48452720688469
5,6,2,99,95.48170746580465
7,7,1,51,73.69094461819282
9,7,9,85,81.85248800183676
7,6,2,99,98.21223039797047
5,4,8,56,40.2325432129031
10,9,9,62,88.43002451846024
10,6,4,64,93.57186767099569
7,9,8,74,81.62180616972437
10,8,9,72,91.29203475948155
5,7,10,71,56.49166743189537
3,9,10,75,63.44071771985472
7,5,5,82,75.6826831643883
2,9,7,60,42.485491344724835
9,8,10,59,77.4633061373339
10,7,4,74,100.0
10,6,1,86,100.0
1,8,3,97,65.67601492459883
6,7,5,92,87.50975483703168
7,9,3,87,100.0
8,4,7,90,83.45158345759464
10,4,9,94,89.67707876555707
9,5,6,73,86.93019340821374
2,7,10,89,46.80786548589927
10,4,1,95,100.0
2,6,7,82,48.47395951097345
5,7,3,66,79.74193185994078
5,6,5,73,73.06015860494193
6,6,10,86,71.92562517157009
3,4,4,51,37.246891733235955
8,7,10,81,85.22073894474059
1,9,5,73,65.43270067495908
6,8,5,58,75.85747368231782
4,4,6,53,46.32411291748221
1,4,10,66,33.15859015925307
7,9,10,66,76.36458057126345
9,7,6,99,100.0
4,7,8,97,78.01842820896476
4,6,8,79,60.394672316948366
6,9,9,89,80.19679308557946
3,9,8,60,54.00088529656911
6,7,2,70,84.67925167502467
7,6,10,70,66.30280174101095
10,4,1,67,89.74735190923089
10,5,10,78,83.99523314373397
3,8,2,73,77.03728465334476
7,4,2,59,73.17554033567032
3,7,3,94,75.61891001999787
2,8,10,66,48.602158964733825
10,5,7,67,84.92019604524934
4,5,2,91,66.83181479495161
8,6,1,97,100.0
9,8,6,69,93.53729219973555
7,6,9,86,78.08085899472873
1,4,3,94,63.311783503614606
3,9,6,67,69.56499682125099
9,9,3,66,100.0
1,9,1,58,54.74849591982233
9,8,5,63,86.4214444468652
8,9,10,98,100.0
1,4,4,78,38.613880365274
6,6,7,80,73.25576242418943
5,8,6,53,65.69912903515541
6,6,10,67,52.74796132276248
10,8,7,69,95.6717161942515
5,6,5,96,85.77214538292976
6,5,4,92,75.57211964948262
5,6,7,93,83.79085103347079
5,9,7,58,61.95084961950545
4,5,6,62,56.87368123238515
3,6,8,64,48.58201785820683
3,8,4,76,69.34757811850226
4,8,10,64,49.582524321629215
9,8,5,77,100.0
2,7,4,86,67.62941731675117
9,4,1,68,97.10420088451578
1,8,8,75,44.21291389710487
1,5,1,75,54.59382683060653
5,8,5,74,77.04764619851103
6,7,6,75,76.80191573647463
6,9,6,75,85.8339267233621
3,5,5,95,66.53040729038062
7,7,3,77,99.11013023150343
9,9,5,98,100.0
10,5,8,67,68.07922782118833
8,6,2,81,94.92100504169686
6,4,6,52,62.30731992433091
8,4,9,51,54.88346949074733
5,7,8,82,66.06622405414382
8,9,8,91,92.29805146830205
10,4,8,68,74.61761595011436
4,9,7,66,63.60299143147003
10,9,8,93,100.0
8,7,6,82,97.63166364206347
10,7,2,61,85.378748380314
2,7,2,98,74.10772673211271
5,4,8,52,48.513489971883665
9,7,1,92,100.0
4,4,6,98,78.49969833311445
6,7,6,75,66.44653045208966
1,8,4,84,50.0546803265575
9,9,10,57,90.81106262019128
1,7,3,85,66.26716846623668
5,5,3,56,59.14314206523545
4,9,1,95,93.35799386533978
3,9,3,95,84.71608811280534
6,7,4,85,82.5223960483201
2,6,5,65,51.20889185345717
3,7,3,73,68.2740668733006
5,9,6,50,75.07765130681412
9,5,5,98,100.0
2,9,3,74,76.69661570121038
10,5,6,59,75.78214258163553
8,4,6,65,70.76401370191071
2,8,8,65,51.711234919658125
5,9,2,57,66.89449623433518
7,7,1,78,98.9092966905464
8,4,4,88,91.2110488615563
1,8,7,77,51.66420740023068
6,7,10,55,57.583328282496076
1,6,3,65,55.76933444411874
2,7,3,69,55.522810261815174
1,5,5,65,48.970926748311435
5,5,5,56,56.73980631706856
10,6,10,90,96.77998026388458
9,4,3,63,82.93382102789494
6,8,9,92,93.16596923325594
1,7,4,75,51.06303804946237
1,5,3,75,48.63358688711533
2,4,2,63,41.96937261155584
9,6,10,56,65.5162141648534
3,9,9,82,68.56564053847258
1,5,4,75,57.500818194325305
5,6,3,94,88.13240435180138
7,7,7,69,76.47304250136567
6,8,8,52,59.53192749171973
1,5,2,53,46.99209335813575
5,5,7,75,58.75699047407081
5,7,5,60,59.2552413284712
6,9,5,51,70.95765333395047
3,4,3,63,42.33029691555752
5,8,5,93,78.59307562723876
7,5,2,79,94.9299516794141
5,8,4,98,82.165957877708
5,5,6,61,52.55925809477094
5,8,1,75,84.85916453853332
10,6,10,93,95.11951940015008
10,5,4,82,96.82687851310573
3,8,6,62,47.98313125554442
1,4,9,63,34.74244663818895
5,6,2,73,73.28473300121001
9,6,7,83,96.6022476108745
1,4,6,93,48.275911892355765
3,8,2,75,77.41247169570289
4,7,8,70,66.48041724539718
1,4,7,77,39.1652886212309
1,8,5,97,71.90225097052823
8,4,5,85,77.85727660941801
2,4,7,89,53.818447435347466
8,5,9,51,68.6111385417742
7,8,9,91,89.09246422982062
10,7,9,58,94.0311196142662
10,5,6,72,91.87178996145578
2,4,10,64,32.1736437369625
6,9,6,62,90.20443196500749
6,4,3,72,80.16850508673775
3,4,1,66,49.98546219100802
2,8,7,97,64.57918197535842
1,8,4,51,41.30920946479338
6,5,1,69,80.72814802254528
5,7,8,69,67.35579018408394
9,5,6,95,98.3172596619775
1,6,6,52,28.850452702505244
7,4,2,61,70.30954226697476
5,9,1,89,93.75357372638177
5,4,2,51,49.39039725339639
2,4,4,85,52.140861167210545
3,5,2,63,64.28216855082866
7,9,1,65,84.72962001015206
6,9,7,68,84.2763024685924
2,9,8,83,67.95574546267751
6,5,6,93,78.0463139009776
2,4,4,95,58.25563500316158
2,5,6,55,44.6591381107265
2,8,3,62,55.06129919552185
3,8,8,85,61.81001025026938
2,5,10,71,40.380657979976355
4,9,2,67,65.8488320210654
9,4,5,61,70.25012200799146
6,5,1,79,80.92169375499259
1,5,6,100,60.378480161062996
8,5,2,89,91.49213030960661
7,6,4,56,72.01194760989159
10,8,6,81,94.43270295931184
3,9,10,97,75.1624192613516
1,7,8,68,45.10041164780491
5,9,8,55,65.04272951319608
4,7,6,69,65.94125308992447
10,6,4,76,98.39063751747393
8,5,8,92,82.58113620713
1,6,8,86,55.648272743601545
10,6,10,97,97.28440573880387
1,4,1,56,42.17140285663288
4,8,4,54,62.95672673039748
8,7,4,60,82.8501746675563
5,5,7,64,57.12117198037344
2,7,7,52,45.23053181253954
6,9,8,54,63.320698889388154
5,7,5,72,67.68604482129845
2,9,7,86,68.79631844714318
3,8,8,58,51.27380329636102
9,9,9,64,90.85696551071548
7,7,3,52,78.04439500315932
7,7,3,78,86.23686044961885
6,9,4,55,79.37548181564337
8,6,5,66,86.98595478979468
4,8,10,75,63.73489778060627
8,4,1,70,88.32792471533398
4,5,7,57,48.641145746982986
8,7,9,70,82.96519941440252
9,5,8,60,71.09654792535179
3,4,5,87,62.19271512870258
3,5,4,57,63.347530762179666
2,4,7,91,56.1944052801283
10,9,5,73,100.0
3,6,7,84,58.883538791543
3,7,1,63,65.14329151354828
5,4,1,63,70.75622890864706
5,5,10,59,50.22888754583691
2,7,3,61,52.257360933808016
10,6,2,87,100.0
6,9,2,93,100.0
5,7,7,95,79.71197493369395
6,4,10,83,65.7748808455951
1,6,2,90,68.58744947892447
5,5,4,59,75.13679851204749
9,6,2,66,84.689832416162
10,6,6,66,92.4343106364322
2,8,8,52,44.49153854194145
1,6,10,80,33.77711884444706
10,6,4,100,100.0
9,7,5,50,83.10586613290974
10,5,4,61,91.49903146410078
9,7,3,88,95.50290527451159
9,7,5,53,81.39791536250895
6,4,9,91,64.10401527552852
8,7,8,62,86.81550471340306
1,8,8,83,60.2227517287219
10,8,8,91,100.0
4,4,8,70,43.31680549525199
1,9,7,71,54.47027533191878
8,5,8,53,70.9621100114718
1,5,8,67,28.824731972820352
3,7,8,54,42.34112664503415
4,7,10,68,49.4720764549302
8,9,7,51,82.83473082955294
6,7,1,61,77.65085455727744
10,5,4,66,88.36031738811248
7,6,4,59,75.37327340319484
8,8,5,83,91.10859593835492
2,6,10,55,28.281566316362177
10,6,6,57,91.34842581180142
8,5,4,100,100.0
3,6,2,60,59.89791229731589
7,9,6,61,81.7607775283381
3,4,8,58,46.30506988290004
7,7,8,51,66.2832677830187
2,4,7,57,34.404610470281774
10,8,6,60,92.19669563388732
6,7,2,85,96.46584318583736
3,6,7,59,48.76660834214403
3,8,5,70,60.65308732673223
9,7,6,69,89.23501024642549
7,9,10,97,93.78111568767882
5,9,8,57,67.1812674745285
10,9,8,85,100.0
7,9,3,78,90.86661160433285
9,6,7,91,98.35051783279228
1,4,1,61,45.642329696061445
7,7,1,63,81.94104416265273
6,6,7,97,86.31075856826017
10,9,10,99,100.0
9,4,9,70,66.12851325722224
1,8,7,71,45.49698809444839
4,8,10,70,58.09181533476458
9,8,5,93,100.0
4,9,8,99,76.17965023955955
10,8,2,79,100.0
3,5,9,88,49.91696384168471
9,7,6,69,93.41016458119906
2,7,9,73,58.08665556977776
4,9,2,72,87.04641262244161
6,5,3,56,71.82489775243069
2,6,8,58,45.312549785601306
8,6,1,50,70.64060237798398
8,8,10,75,82.38586616110052
1,4,7,87,44.01953688170046
3,6,7,87,66.9023318052245
10,4,1,93,93.81201062159336
9,7,9,71,84.46483851385089
5,4,8,93,66.42778108083799
6,7,4,59,78.09214966465701
4,5,10,55,50.23993526837369
10,5,5,66,83.35576991493616
2,9,2,100,78.58144782051592
8,9,9,99,99.65248310605857
6,8,6,87,94.16881345760771
5,6,3,73,73.80072338641509
9,8,7,100,98.60419292322835
1,7,9,59,34.47065776918353
5,8,3,57,72.51332082231731
6,4,2,70,74.20101214281978
5,7,7,55,55.979561822038136
6,9,7,70,74.8710465311019
6,5,4,88,76.09216002721801
7,9,9,73,86.20585591926897
4,6,8,82,58.826124103533054
8,7,1,67,90.17602898040857
7,7,1,77,90.03373541738024
9,4,5,81,79.47021376242304
7,6,6,61,67.18292347591093
3,5,3,97,78.64068799643269
3,7,9,91,57.45356079104636
8,7,10,76,74.18178849086816
5,4,6,59,47.837271131103705
4,8,4,95,83.0469421988437
8,5,7,91,95.92738360633145
6,9,8,81,80.83652889236464
2,6,9,91,55.83381062677195
4,7,6,75,62.522763820665055
4,7,6,74,65.69190977603864
6,9,8,60,77.14525153173808
6,5,5,72,71.71454693819086
1,8,3,83,75.15885041031082
8,7,3,89,100.0
6,5,6,72,68.56841827277533
3,9,2,78,76.47106062203942
9,4,6,80,93.15461568811816
2,8,6,56,50.686627879276145
8,6,8,89,93.54460780135861
10,7,7,82,100.0
3,5,8,70,47.978903160879455
5,4,9,51,46.259776829675076
6,6,6,67,74.4000209228319
10,5,3,96,100.0
6,5,10,82,69.80245366460251
4,6,3,86,68.33263086411132
3,4,1,83,62.257916359191
4,9,5,69,69.02366489529406
1,4,4,84,57.07210401734338
4,8,9,100,69.82312546436557
1,7,9,99,65.11613353589419
1,6,5,67,50.399170570393416
10,9,10,95,100.0
6,6,4,73,71.852334613775
5,6,7,57,57.861511813450655
4,4,6,79,60.99471393065658
3,7,4,93,75.77483501011346
1,8,10,59,39.978287004233586
6,5,2,72,75.61736759802444
2,5,1,98,72.6760354053183
8,6,4,60,85.16781977532594
10,7,4,51,82.66743845779555
5,9,1,75,95.23525059452702
7,4,6,85,82.40949478184224
10,7,4,82,99.17399053658333
2,7,1,96,78.9191802172766
